"""Integrated M.C.A.-Integrated Master of Computer Applications""",,"""""dfe""""",,
"""M.C.A. -Master of Computer Applications""","""M.C.A. -Master of Computer Applications""","""M.C.A. ""","""Master of Computer Applications""","""MCA """
"""B.Ed.-Bachelor of Education""","""B.Ed.-Bachelor of Education""","""B.Ed.""","""Bachelor of Education""","""BEd"""
"""B.C.A.-Bachelor of Computer Applications""","""B.C.A.-Bachelor of Computer Applications""","""B.C.A.""","""Bachelor of Computer Applications""","""BCA"""
"""B.A.-Bachelor of Arts""","""B.A.-Bachelor of Arts""","""B.A.""","""Bachelor of Arts""","""BA"""
"""B.Com.-Bachelor of Commerce""","""B.Com.-Bachelor of Commerce""","""B.Com.""","""Bachelor of Commerce""","""BCom"""
"""B.B.A.-Bachelor of Business Administration""","""B.B.A.-Bachelor of Business Administration""","""B.B.A.""","""Bachelor of Business Administration""","""BBA"""
"""M.Com.-Master of Commerce""","""M.Com.-Master of Commerce""","""M.Com.""","""Master of Commerce""","""MCom"""
"""M.Sc.-Master of Science""","""M.Sc.-Master of Science""","""M.Sc.""","""Master of Science""","""MSc"""
"""B.Sc.-Bachelor of Science""","""B.Sc.-Bachelor of Science""","""B.Sc.""","""Bachelor of Science""","""BSc"""
"""M.A.-Master of Arts""","""M.A.-Master of Arts""","""M.A.""","""Master of Arts""","""MA"""
"""PG Diploma-Post Graduate Diploma""","""PG Diploma-Post Graduate Diploma""","""PG Diploma""","""Post Graduate Diploma""","""PG Diploma"""
"""B.J.M.C.-Bachelor of Journalism and Mass Communication""","""B.J.M.C.-Bachelor of Journalism and Mass Communication""","""B.J.M.C.""","""Bachelor of Journalism and Mass Communication""","""BJMC"""
"""M.J.M.C.-Master of Journalism and Mass Communication""","""M.J.M.C.-Master of Journalism and Mass Communication""","""M.J.M.C.""","""Master of Journalism and Mass Communication""","""MJMC"""
"""B.P.A.-Bachelor of Performing Arts""","""B.P.A.-Bachelor of Performing Arts""","""B.P.A.""","""Bachelor of Performing Arts""","""BPA"""
"""M.P.A.-Master of Performing Arts""","""M.P.A.-Master of Performing Arts""","""M.P.A.""","""Master of Performing Arts""","""MPA"""
"""M.Ed. -Master of Education""","""M.Ed. -Master of Education""","""M.Ed. ""","""Master of Education""","""MEd """
"""B.P.Ed.-Bachelor of Physical Education""","""B.P.Ed.-Bachelor of Physical Education""","""B.P.Ed.""","""Bachelor of Physical Education""","""BPEd"""
"""B.S.W.-Bachelor of Social Work""","""B.S.W.-Bachelor of Social Work""","""B.S.W.""","""Bachelor of Social Work""","""BSW"""
"""B.Sc.[Hons]-Bachelor of Science [Honors]""","""B.Sc.[Hons]-Bachelor of Science [Honors]""","""B.Sc.[Hons]""","""Bachelor of Science [Honors]""","""BSc[Hons]"""
"""M.S.W.-Master of Social Work""","""M.S.W.-Master of Social Work""","""M.S.W.""","""Master of Social Work""","""MSW"""
"""Certificate-Certificate""","""Certificate-Certificate""","""Certificate""","""Certificate""","""Certificate"""
"""M.B.A.- Master of Business Administration""","""M.B.A.- Master of Business Administration""","""M.B.A.""",""" Master of Business Administration""","""MBA"""
"""B.P.E.-Bachelor of Physical Education""","""B.P.E.-Bachelor of Physical Education""","""B.P.E.""","""Bachelor of Physical Education""","""BPE"""
"""L.L.B.-Bachelor of Law or Laws""","""L.L.B.-Bachelor of Law or Laws""","""L.L.B.""","""Bachelor of Law or Laws""","""LLB"""
"""Integrated M.B.A.-Integrated Master of Business Administration""","""Integrated M.B.A.-Integrated Master of Business Administration""","""Integrated M.B.A.""","""Integrated Master of Business Administration""","""Integrated MBA"""
"""M.H.A. -Master of Hospital Administration""","""M.H.A. -Master of Hospital Administration""","""M.H.A. ""","""Master of Hospital Administration""","""MHA """
"""M.D.-Doctor of Medicine""","""M.D.-Doctor of Medicine""","""M.D.""","""Doctor of Medicine""","""MD"""
"""M.S.-Master of Surgery""","""M.S.-Master of Surgery""","""M.S.""","""Master of Surgery""","""MS"""
"""B.P.T.-Bachelor of Physiotherapy""","""B.P.T.-Bachelor of Physiotherapy""","""B.P.T.""","""Bachelor of Physiotherapy""","""BPT"""
"""Diploma-Diploma""","""Diploma-Diploma""","""Diploma""","""Diploma""","""Diploma"""
"""B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology""","""B.A.S.L.P.-Bachelor of Audiology and Speech Language Pathology""","""B.A.S.L.P.""","""Bachelor of Audiology and Speech Language Pathology""","""BASLP"""
"""M.P.T.-Master of Physiotherapy""","""M.P.T.-Master of Physiotherapy""","""M.P.T.""","""Master of Physiotherapy""","""MPT"""
"""M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery""","""M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery""","""M.B.B.S.""","""Bachelor of Medicine and Bachelor of Surgery""","""MBBS"""
"""B.Optom.-Bachelor of Clinical Optometry""","""B.Optom.-Bachelor of Clinical Optometry""","""B.Optom.""","""Bachelor of Clinical Optometry""","""BOptom"""
"""M.E.-Master of Engineering""","""M.E.-Master of Engineering""","""M.E.""","""Master of Engineering""","""ME"""
"""B.Tech.-Bachelor of Technology""","""B.Tech.-Bachelor of Technology""","""B.Tech.""","""Bachelor of Technology""","""BTech"""
"""M.Tech. -Master of Technology""","""M.Tech. -Master of Technology""","""M.Tech. ""","""Master of Technology""","""MTech """
"""B.E.-Bachelor of Engineering""","""B.E.-Bachelor of Engineering""","""B.E.""","""Bachelor of Engineering""","""BE"""
"""B.S.Course-Bachelor of Science [Physician Assistant and Emergency & Trauma Care Management]""","""B.S.Course-Bachelor of Science [Physician Assistant and Emergency & Trauma Care Management]""","""B.S.Course""","""Bachelor of Science [Physician Assistant and Emergency & Trauma Care Management]""","""BSCourse"""
"""M.Pharm. -Master of Pharmacy""","""M.Pharm. -Master of Pharmacy""","""M.Pharm. ""","""Master of Pharmacy""","""MPharm """
"""Pharm.D.-Doctor of Pharmacy""","""Pharm.D.-Doctor of Pharmacy""","""Pharm.D.""","""Doctor of Pharmacy""","""PharmD"""
"""D.Pharma-Diploma in Pharmacy""","""D.Pharma-Diploma in Pharmacy""","""D.Pharma""","""Diploma in Pharmacy""","""DPharma"""
"""B.Pharm.-Bachelor of Pharmacy""","""B.Pharm.-Bachelor of Pharmacy""","""B.Pharm.""","""Bachelor of Pharmacy""","""BPharm"""
"""M.Sc. Nursing-Master of Science in Nursing""","""M.Sc. Nursing-Master of Science in Nursing""","""M.Sc. Nursing""","""Master of Science in Nursing""","""MSc Nursing"""
"""B.Sc.[Nursing]-Bachelor of Science in Nursing""","""B.Sc.[Nursing]-Bachelor of Science in Nursing""","""B.Sc.[Nursing]""","""Bachelor of Science in Nursing""","""BSc[Nursing]"""
"""M.D.S.-Master of Dental Surgery""","""M.D.S.-Master of Dental Surgery""","""M.D.S.""","""Master of Dental Surgery""","""MDS"""
"""B.D.S.-Bachelor of Dental Surgery""","""B.D.S.-Bachelor of Dental Surgery""","""B.D.S.""","""Bachelor of Dental Surgery""","""BDS"""
"""B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery""","""B.H.M.S.-Bachelor of Homeopathic Medicine and Surgery""","""B.H.M.S.""","""Bachelor of Homeopathic Medicine and Surgery""","""BHMS"""
"""B.Architecture-Bachelor of Architecture""","""B.Architecture-Bachelor of Architecture""","""B.Architecture""","""Bachelor of Architecture""","""BArchitecture"""
"""B.F.Sc.-Bachelor of Fisheries Science""","""B.F.Sc.-Bachelor of Fisheries Science""","""B.F.Sc.""","""Bachelor of Fisheries Science""","""BFSc"""
"""M.Mgt.-Master of Management""","""M.Mgt.-Master of Management""","""M.Mgt.""","""Master of Management""","""MMgt"""
"""Ph.D.-Doctor of Philosophy""","""Ph.D.-Doctor of Philosophy""","""Ph.D.""","""Doctor of Philosophy""","""PhD"""
"""B.Agri.-Bachelor of Agriculture""","""B.Agri.-Bachelor of Agriculture""","""B.Agri.""","""Bachelor of Agriculture""","""BAgri"""
"""B.H.T.M.-Bachelor of Hotel and Tourism Management""","""B.H.T.M.-Bachelor of Hotel and Tourism Management""","""B.H.T.M.""","""Bachelor of Hotel and Tourism Management""","""BHTM"""
"""B.H.M.C.T.-Bachelor of Hotel Management and Catering Technology""","""B.H.M.C.T.-Bachelor of Hotel Management and Catering Technology""","""B.H.M.C.T.""","""Bachelor of Hotel Management and Catering Technology""","""BHMCT"""
"""B.M.M.-Bachelor of Multi Media""","""B.M.M.-Bachelor of Multi Media""","""B.M.M.""","""Bachelor of Multi Media""","""BMM"""
"""B.M.S.-Bachelor of Management Studies""","""B.M.S.-Bachelor of Management Studies""","""B.M.S.""","""Bachelor of Management Studies""","""BMS"""
"""M.S.-Master of Science""","""M.S.-Master of Science""","""M.S.""","""Master of Science""","""MS"""
"""M.Sc. Tech. -Master of Science in Technology""","""M.Sc. Tech. -Master of Science in Technology""","""M.Sc. Tech. ""","""Master of Science in Technology""","""MSc Tech """
"""B.H.M.T.T.-Bachelor of Hotel Management, Travel and Tourism""","""B.H.M.T.T.-Bachelor of Hotel Management, Travel and Tourism""","""B.H.M.T.T.""","""Bachelor of Hotel Management, Travel and Tourism""","""BHMTT"""
"""B.F.Tech.-Bachelor of Fashion Technology""","""B.F.Tech.-Bachelor of Fashion Technology""","""B.F.Tech.""","""Bachelor of Fashion Technology""","""BFTech"""
"""P.G.D.M.-Post-Graduate Diploma in Management""","""P.G.D.M.-Post-Graduate Diploma in Management""","""P.G.D.M.""","""Post""","""PGDM"""
"""B.H.M.-Bachelor of Hotel Management""","""B.H.M.-Bachelor of Hotel Management""","""B.H.M.""","""Bachelor of Hotel Management""","""BHM"""
"""B.A.[Hons]-Bachelor of Arts [Honors]""","""B.A.[Hons]-Bachelor of Arts [Honors]""","""B.A.[Hons]""","""Bachelor of Arts [Honors]""","""BA[Hons]"""
"""D.Ed.-Diploma in Education""","""D.Ed.-Diploma in Education""","""D.Ed.""","""Diploma in Education""","""DEd"""
"""B.Voc.-Bachelor of Vocational Education""","""B.Voc.-Bachelor of Vocational Education""","""B.Voc.""","""Bachelor of Vocational Education""","""BVoc"""
"""B.S.S.-Bachelor in Social Sciences""","""B.S.S.-Bachelor in Social Sciences""","""B.S.S.""","""Bachelor in Social Sciences""","""BSS"""
"""B.F.A.-Bachelor of Fine Arts""","""B.F.A.-Bachelor of Fine Arts""","""B.F.A.""","""Bachelor of Fine Arts""","""BFA"""
"""B.S. M.S.-Bachelor of Science, Master of Science""","""B.S. M.S.-Bachelor of Science, Master of Science""","""B.S. M.S.""","""Bachelor of Science, Master of Science""","""BS MS"""
"""M.Arch.-Master of Architecture""","""M.Arch.-Master of Architecture""","""M.Arch.""","""Master of Architecture""","""MArch"""
"""B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws""","""B.A. L.L.B.-Bachelor of Arts, Bachelor of Law or Laws""","""B.A. L.L.B.""","""Bachelor of Arts, Bachelor of Law or Laws""","""BA LLB"""
"""B.L.-Bachelor of Law or Laws""","""B.L.-Bachelor of Law or Laws""","""B.L.""","""Bachelor of Law or Laws""","""BL"""
"""B.Lib.Sc.-Bachelor of Library Science""","""B.Lib.Sc.-Bachelor of Library Science""","""B.Lib.Sc.""","""Bachelor of Library Science""","""BLibSc"""
"""B.Sc. B.Ed.-Bachelor of Science, Bachelor of Education""","""B.Sc. B.Ed.-Bachelor of Science, Bachelor of Education""","""B.Sc. B.Ed.""","""Bachelor of Science, Bachelor of Education""","""BSc BEd"""
"""M.H.R.D. -Master of Human Resource Development""","""M.H.R.D. -Master of Human Resource Development""","""M.H.R.D. ""","""Master of Human Resource Development""","""MHRD """
"""L.L.M.-Master of Law or Laws""","""L.L.M.-Master of Law or Laws""","""L.L.M.""","""Master of Law or Laws""","""LLM"""
"""M.Phil.-Master of Philosophy""","""M.Phil.-Master of Philosophy""","""M.Phil.""","""Master of Philosophy""","""MPhil"""
"""Acharya-Acharya""","""Acharya-Acharya""","""Acharya""","""Acharya""","""Acharya"""
"""Shastri-Shastri""","""Shastri-Shastri""","""Shastri""","""Shastri""","""Shastri"""
"""B.Des.-Bachelor of Design""","""B.Des.-Bachelor of Design""","""B.Des.""","""Bachelor of Design""","""BDes"""
"""M.P.Ed.-Master of Physical Education""","""M.P.Ed.-Master of Physical Education""","""M.P.Ed.""","""Master of Physical Education""","""MPEd"""
"""B.A. B.Ed.-Bachelor of Arts, Bachelor of Education""","""B.A. B.Ed.-Bachelor of Arts, Bachelor of Education""","""B.A. B.Ed.""","""Bachelor of Arts, Bachelor of Education""","""BA BEd"""
"""B.Com. B.Ed.-Bachelor of Commerce, Bachelor of Education""","""B.Com. B.Ed.-Bachelor of Commerce, Bachelor of Education""","""B.Com. B.Ed.""","""Bachelor of Commerce, Bachelor of Education""","""BCom BEd"""
"""B.J.-Bachelor of Journalism""","""B.J.-Bachelor of Journalism""","""B.J.""","""Bachelor of Journalism""","""BJ"""
"""Shiksha Shastri-Shiksha Shastri""","""Shiksha Shastri-Shiksha Shastri""","""Shiksha Shastri""","""Shiksha Shastri""","""Shiksha Shastri"""
"""B.Sc.[Post Basic]-B.Sc [Post Basic]""","""B.Sc.[Post Basic]-B.Sc [Post Basic]""","""B.Sc.[Post Basic]""","""B.Sc [Post Basic]""","""BSc[Post Basic]"""
"""Visharad-Visharad""","""Visharad-Visharad""","""Visharad""","""Visharad""","""Visharad"""
"""G.N.M.-General Nursing & Midwifery""","""G.N.M.-General Nursing & Midwifery""","""G.N.M.""","""General Nursing & Midwifery""","""GNM"""
"""Ayurvedacharya-Ayurvedacharya""","""Ayurvedacharya-Ayurvedacharya""","""Ayurvedacharya""","""Ayurvedacharya""","""Ayurvedacharya"""
"""Integrated M.Sc.-Integrated Master of Science""","""Integrated M.Sc.-Integrated Master of Science""","""Integrated M.Sc.""","""Integrated Master of Science""","""Integrated MSc"""
"""M.F.Tech.-Master of Fashion Technology""","""M.F.Tech.-Master of Fashion Technology""","""M.F.Tech.""","""Master of Fashion Technology""","""MFTech"""
"""B.A.M.S.-Bachelor of Ayurved Medicine & Surgery""","""B.A.M.S.-Bachelor of Ayurved Medicine & Surgery""","""B.A.M.S.""","""Bachelor of Ayurved Medicine & Surgery""","""BAMS"""
"""B.B.M.-Bachelor of Business Management""","""B.B.M.-Bachelor of Business Management""","""B.B.M.""","""Bachelor of Business Management""","""BBM"""
"""M.B.A.[Tech.]-Master of Business Administration in Technology""","""M.B.A.[Tech.]-Master of Business Administration in Technology""","""M.B.A.[Tech.]""","""Master of Business Administration in Technology""","""MBA[Tech]"""
"""M.Lib.Sc. -Master of Library Science""","""M.Lib.Sc. -Master of Library Science""","""M.Lib.Sc. ""","""Master of Library Science""","""MLibSc """
"""M.F.A. -Master of Fine Arts""","""M.F.A. -Master of Fine Arts""","""M.F.A. ""","""Master of Fine Arts""","""MFA """
"""M.L.I.Sc.-Master of Library & Information Science""","""M.L.I.Sc.-Master of Library & Information Science""","""M.L.I.Sc.""","""Master of Library & Information Science""","""MLISc"""
