dis_1000,Kupwara
dis_1001,budgam
dis_1002,Leh(Ladakh)
dis_1003,Kargil
dis_1004,Punch
dis_1005,Rajouri
dis_1006,Kathua
dis_1007,Baramula
dis_1008,Bandipore
dis_1009,Srinagar
dis_1010,Ganderbal
dis_1011,Pulwama
dis_1012,Shupiyan
dis_1013,Anantnag
dis_1014,Kulgam
dis_1015,Doda
dis_1016,Ramban
dis_1017,Kishtwar
dis_1018,Udhampur
dis_1019,Reasi
dis_1020,Jammu
dis_1021,Samba
dis_1022,Chamba
dis_1023,Kangra
dis_1024,Lahul & Spiti
dis_1025,Kullu
dis_1026,Mandi
dis_1027,Hamirpur
dis_1028,Una
dis_1029,Bilaspur
dis_1030,Solan
dis_1031,Sirmaur
dis_1032,Shimla
dis_1033,Kinnaur
dis_1034,Gurdaspur
dis_1035,Kapurthala
dis_1036,Jalandhar
dis_1037,Hoshiarpur
dis_1038,Shahid Bhagat Singh Nagar
dis_1039,Fatehgarh Sahib
dis_1040,Ludhiana
dis_1041,Moga
dis_1042,Firozpur
dis_1043,Muktsar
dis_1044,Faridkot
dis_1045,Bathinda
dis_1046,Mansa
dis_1047,Patiala
dis_1048,Amritsar
dis_1049,Tarn Taran
dis_1050,Rupnagar
dis_1051,Sahibzada Ajit Singh Nagar
dis_1052,Sangrur
dis_1053,Barnala
dis_1054,Chandigarh
dis_1055,Uttarkashi
dis_1056,Chamoli
dis_1057,Rudraprayag
dis_1058,Tehri Garhwal
dis_1059,Dehradun
dis_1060,Garhwal
dis_1061,Pithoragarh
dis_1062,Bageshwar
dis_1063,Almora
dis_1064,Champawat
dis_1065,Nainital
dis_1066,Udham Singh Nagar
dis_1067,Hardwar
dis_1068,Panchkula
dis_1069,Ambala
dis_1070,Yamunanagar
dis_1071,Kurukshetra
dis_1072,Kaithal
dis_1073,Karnal
dis_1074,Panipat
dis_1075,Sonipat
dis_1076,Jind
dis_1077,Fatehabad
dis_1078,Sirsa
dis_1079,Hisar
dis_1080,Bhiwani
dis_1081,Rohtak
dis_1082,Jhajjar
dis_1083,Mahendragarh
dis_1084,Rewari
dis_1085,Gurgaon
dis_1086,Mewat
dis_1087,Faridabad
dis_1088,Palwal
dis_1089,North West
dis_1090,North
dis_1091,North East
dis_1092,East
dis_1093,New Delhi
dis_1094,Central
dis_1095,West
dis_1096,South West
dis_1097,South
dis_1098,Ganganagar
dis_1099,Hanumangarh
dis_1100,Bikaner
dis_1101,Churu
dis_1102,Jhunjhunun
dis_1103,Alwar
dis_1104,Bharatpur
dis_1105,Dhaulpur
dis_1106,Karauli
dis_1107,Sawai Madhopur
dis_1108,Dausa
dis_1109,Jaipur
dis_1110,Sikar
dis_1111,Nagaur
dis_1112,Jodhpur
dis_1113,Jaisalmer
dis_1114,Barmer
dis_1115,Jalor
dis_1116,Sirohi
dis_1117,Pali
dis_1118,Ajmer
dis_1119,Tonk
dis_1120,Bundi
dis_1121,Bhilwara
dis_1122,Rajsamand
dis_1123,Dungarpur
dis_1124,Banswara
dis_1125,Chittaurgarh
dis_1126,Kota
dis_1127,Baran
dis_1128,Jhalawar
dis_1129,Udaipur
dis_1130,Pratapgarh
dis_1131,Saharanpur
dis_1132,Muzaffarnagar
dis_1133,Bijnor
dis_1134,Moradabad
dis_1135,Rampur
dis_1136,Jyotiba Phule Nagar
dis_1137,Meerut
dis_1138,Baghpat
dis_1139,Ghaziabad
dis_1140,Gautam Buddha Nagar
dis_1141,Bulandshahr
dis_1142,Aligarh
dis_1143,Hatras
dis_1144,Mathura
dis_1145,Agra
dis_1146,Firozabad
dis_1147,Mainpuri
dis_1148,Budaun
dis_1149,Bareilly
dis_1150,Pilibhit
dis_1151,Shahjahanpur
dis_1152,Kheri
dis_1153,Sitapur
dis_1154,Hardoi
dis_1155,Unnao
dis_1156,Lucknow
dis_1157,Rae Bareli
dis_1158,Farrukhabad
dis_1159,Kannauj
dis_1160,Etawah
dis_1161,Auraiya
dis_1162,Kanpur Dehat
dis_1163,Kanpur Nagar
dis_1164,Jalaun
dis_1165,Jhansi
dis_1166,Lalitpur
dis_1167,Mahoba
dis_1168,Banda
dis_1169,Chitrakoot
dis_1170,Fatehpur
dis_1171,Kaushambi
dis_1172,Allahabad
dis_1173,Bara Banki
dis_1174,Faizabad
dis_1175,Ambedkar Nagar
dis_1176,Sultanpur
dis_1177,Bahraich
dis_1178,Shrawasti
dis_1179,Balrampur
dis_1180,Gonda
dis_1181,Siddharthnagar
dis_1182,Basti
dis_1183,Sant Kabir Nagar
dis_1184,Mahrajganj
dis_1185,Gorakhpur
dis_1186,Kushinagar
dis_1187,Deoria
dis_1188,Azamgarh
dis_1189,Mau
dis_1190,Ballia
dis_1191,Jaunpur
dis_1192,Ghazipur
dis_1193,Chandauli
dis_1194,Varanasi
dis_1195,Sant Ravidas Nagar (Bhadohi)
dis_1196,Mirzapur
dis_1197,Sonbhadra
dis_1198,Etah
dis_1199,Kanshiram Nagar
dis_1200,Pashchim Champaran
dis_1201,Purba Champaran
dis_1202,Sheohar
dis_1203,Sitamarhi
dis_1204,Madhubani
dis_1205,Supaul
dis_1206,Araria
dis_1207,Kishanganj
dis_1208,Purnia
dis_1209,Katihar
dis_1210,Madhepura
dis_1211,Saharsa
dis_1212,Darbhanga
dis_1213,Muzaffarpur
dis_1214,Gopalganj
dis_1215,Siwan
dis_1216,Saran
dis_1217,Vaishali
dis_1218,Samastipur
dis_1219,Begusarai
dis_1220,Khagaria
dis_1221,Bhagalpur
dis_1222,Banka
dis_1223,Munger
dis_1224,Lakhisarai
dis_1225,Sheikhpura
dis_1226,Nalanda
dis_1227,Patna
dis_1228,Bhojpur
dis_1229,Buxar
dis_1230,Kaimur (Bhabua)
dis_1231,Rohtas
dis_1232,Aurangabad
dis_1233,Gaya
dis_1234,Nawada
dis_1235,Jamui
dis_1236,Jehanabad
dis_1237,Arwal
dis_1238,West District
dis_1239,South District
dis_1240,East District
dis_1241,West Kameng
dis_1242,East Kameng
dis_1243,Papum Pare
dis_1244,Upper Subansiri
dis_1245,West Siang
dis_1246,East Siang
dis_1247,Changlang
dis_1248,Tirap
dis_1249,Lower Subansiri
dis_1250,Kurung Kumey
dis_1251,Lower Dibang Valley
dis_1252,Lohit
dis_1253,Mon
dis_1254,Mokokchung
dis_1255,Zunheboto
dis_1256,Wokha
dis_1257,Dimapur
dis_1258,Phek
dis_1259,Tuensang
dis_1260,Longleng
dis_1261,Kiphire
dis_1262,Kohima
dis_1263,Peren
dis_1264,Senapati
dis_1265,Tamenglong
dis_1266,Churachandpur
dis_1267,Bishnupur
dis_1268,Thoubal
dis_1269,Imphal West
dis_1270,Imphal East
dis_1271,Ukhrul
dis_1272,Chandel
dis_1273,Mamit
dis_1274,Kolasib
dis_1275,Aizawl
dis_1276,Champhai
dis_1277,Serchhip
dis_1278,Lunglei
dis_1279,Lawngtlai
dis_1280,Saiha
dis_1281,West Tripura
dis_1282,South Tripura
dis_1283,Dhalai
dis_1284,North Tripura
dis_1285,West Garo Hills
dis_1286,East Garo Hills
dis_1287,West Khasi Hills
dis_1288,Ribhoi
dis_1289,East Khasi Hills
dis_1290,East Jaintia Hills
dis_1291,Kokrajhar
dis_1292,Dhubri
dis_1293,Goalpara
dis_1294,Barpeta
dis_1295,Morigaon
dis_1296,Nagaon
dis_1297,Sonitpur
dis_1298,Lakhimpur
dis_1299,Dhemaji
dis_1300,Tinsukia
dis_1301,Dibrugarh
dis_1302,Sivasagar
dis_1303,Jorhat
dis_1304,Golaghat
dis_1305,Karbi Anglong
dis_1306,Dima Hasao
dis_1307,Cachar
dis_1308,Karimganj
dis_1309,Hailakandi
dis_1310,Bongaigaon
dis_1311,Chirang
dis_1312,Kamrup
dis_1313,Kamrup Metropolitan
dis_1314,Nalbari
dis_1315,Baksa
dis_1316,Darrang
dis_1317,Udalguri
dis_1318,Darjiling
dis_1319,Jalpaiguri
dis_1320,Koch Bihar
dis_1321,Uttar Dinajpur
dis_1322,Dakshin Dinajpur
dis_1323,Maldah
dis_1324,Murshidabad
dis_1325,Birbhum
dis_1326,Barddhaman
dis_1327,Nadia
dis_1328,North Twenty Four Parganas
dis_1329,Hugli
dis_1330,Bankura
dis_1331,Puruliya
dis_1332,Haora
dis_1333,Kolkata
dis_1334,South Twenty Four Parganas
dis_1335,Paschim Medinipur
dis_1336,Purba Medinipur
dis_1337,Garhwa
dis_1338,Chatra
dis_1339,Kodarma
dis_1340,Giridih
dis_1341,Deoghar
dis_1342,Godda
dis_1343,Sahibganj
dis_1344,Pakur
dis_1345,Dhanbad
dis_1346,Bokaro
dis_1347,Lohardaga
dis_1348,Purbi Singhbhum
dis_1349,Palamu
dis_1350,Latehar
dis_1351,Hazaribagh
dis_1352,Ramgarh
dis_1353,Dumka
dis_1354,Jamtara
dis_1355,Ranchi
dis_1356,Khunti
dis_1357,Gumla
dis_1358,Simdega
dis_1359,Pashchimi Singhbhum
dis_1360,Saraikela-Kharsawan
dis_1361,Bargarh
dis_1362,Jharsuguda
dis_1363,Sambalpur
dis_1364,Debagarh
dis_1365,Sundargarh
dis_1366,Kendujhar
dis_1367,Mayurbhanj
dis_1368,Baleshwar
dis_1369,Bhadrak
dis_1370,Kendrapara
dis_1371,Jagatsinghapur
dis_1372,Cuttack
dis_1373,Jajapur
dis_1374,Dhenkanal
dis_1375,Anugul
dis_1376,Nayagarh
dis_1377,Khordha
dis_1378,Puri
dis_1379,Ganjam
dis_1380,Gajapati
dis_1381,Kandhamal
dis_1382,Baudh
dis_1383,Subarnapur
dis_1384,Balangir
dis_1385,Nuapada
dis_1386,Kalahandi
dis_1387,Rayagada
dis_1388,Nabarangapur
dis_1389,Koraput
dis_1390,Malkangiri
dis_1391,Koriya
dis_1392,Surguja
dis_1393,Jashpur
dis_1394,Raigarh
dis_1395,Korba
dis_1396,Janjgir - Champa
dis_1397,Kabeerdham
dis_1398,Rajnandgaon
dis_1399,Durg
dis_1400,Raipur
dis_1401,Mahasamund
dis_1402,Dhamtari
dis_1403,Uttar Bastar Kanker
dis_1404,Bastar
dis_1405,Narayanpur
dis_1406,Dakshin Bastar Dantewada
dis_1407,Bijapur
dis_1408,Sheopur
dis_1409,Morena
dis_1410,Bhind
dis_1411,Gwalior
dis_1412,Datia
dis_1413,Shivpuri
dis_1414,Tikamgarh
dis_1415,Chhatarpur
dis_1416,Panna
dis_1417,Sagar
dis_1418,Damoh
dis_1419,Satna
dis_1420,Rewa
dis_1421,Umaria
dis_1422,Neemuch
dis_1423,Mandsaur
dis_1424,Ratlam
dis_1425,Ujjain
dis_1426,Shajapur
dis_1427,Dewas
dis_1428,Dhar
dis_1429,Indore
dis_1430,Khargone
dis_1431,Barwani
dis_1432,Rajgarh
dis_1433,Vidisha
dis_1434,Bhopal
dis_1435,Sehore
dis_1436,Raisen
dis_1437,Betul
dis_1438,Harda
dis_1439,Hoshangabad
dis_1440,Katni
dis_1441,Jabalpur
dis_1442,Narsimhapur
dis_1443,Dindori
dis_1444,Mandla
dis_1445,Chhindwara
dis_1446,Seoni
dis_1447,Balaghat
dis_1448,Guna
dis_1449,Ashoknagar
dis_1450,Shahdol
dis_1451,Anuppur
dis_1452,Sidhi
dis_1453,Singrauli
dis_1454,Jhabua
dis_1455,Alirajpur
dis_1456,Khandwa
dis_1457,Burhanpur
dis_1458,Kachchh
dis_1459,Banas Kantha
dis_1460,Patan
dis_1461,Mahesana
dis_1462,Sabar Kantha
dis_1463,Gandhinagar
dis_1464,Ahmadabad
dis_1465,Surendranagar
dis_1466,Rajkot
dis_1467,Jamnagar
dis_1468,Porbandar
dis_1469,Junagadh
dis_1470,Amreli
dis_1471,Bhavnagar
dis_1472,Anand
dis_1473,Kheda
dis_1474,Panch Mahals
dis_1475,Dohad
dis_1476,Vadodara
dis_1477,Narmada
dis_1478,Bharuch
dis_1479,The Dangs
dis_1480,Navsari
dis_1481,Valsad
dis_1482,Surat
dis_1483,Tapi
dis_1484,Diu
dis_1485,Daman
dis_1486,Dadra & Nagar Haveli
dis_1487,Nandurbar
dis_1488,Dhule
dis_1489,Jalgaon
dis_1490,Buldana
dis_1491,Akola
dis_1492,Washim
dis_1493,Amravati
dis_1494,Wardha
dis_1495,Nagpur
dis_1496,Bhandara
dis_1497,Gondiya
dis_1498,Gadchiroli
dis_1499,Chandrapur
dis_1500,Yavatmal
dis_1501,Nanded
dis_1502,Hingoli
dis_1503,Parbhani
dis_1504,Jalna
dis_1505,Nashik
dis_1506,Thane
dis_1507,Mumbai Suburban
dis_1508,Mumbai
dis_1509,Pune
dis_1510,Ahmadnagar
dis_1511,Bid
dis_1512,Latur
dis_1513,Osmanabad
dis_1514,Solapur
dis_1515,Satara
dis_1516,Ratnagiri
dis_1517,Sindhudurg
dis_1518,Kolhapur
dis_1519,Sangli
dis_1520,Adilabad
dis_1521,Nizamabad
dis_1522,Karimnagar
dis_1523,Medak
dis_1524,Hyderabad
dis_1525,Rangareddy
dis_1526,Mahbubnagar
dis_1527,Nalgonda
dis_1528,Warangal (Rural)
dis_1529,Khammam
dis_1530,Srikakulam
dis_1531,Vizianagaram
dis_1532,Visakhapatnam
dis_1533,East Godavari
dis_1534,West Godavari
dis_1535,Krishna
dis_1536,Guntur
dis_1537,Prakasam
dis_1538,Sri Potti Sriramulu Nellore
dis_1539,Y.S.R.
dis_1540,Kurnool
dis_1541,Anantapur
dis_1542,Chittoor
dis_1543,Belgaum
dis_1544,Bagalkot
dis_1545,Bidar
dis_1546,Raichur
dis_1547,Koppal
dis_1548,Gadag
dis_1549,Dharwad
dis_1550,Uttara Kannada
dis_1551,Haveri
dis_1552,Bellary
dis_1553,Chitradurga
dis_1554,Davanagere
dis_1555,Shimoga
dis_1556,Udupi
dis_1557,Chikmagalur
dis_1558,Tumkur
dis_1559,Bangalore
dis_1560,Mandya
dis_1561,Hassan
dis_1562,Dakshina Kannada
dis_1563,Kodagu
dis_1564,Mysore
dis_1565,Chamarajanagar
dis_1566,Gulbarga
dis_1567,Yadgir
dis_1568,Kolar
dis_1569,Chikkaballapura
dis_1570,Bangalore Rural
dis_1571,Ramanagara
dis_1572,North Goa
dis_1573,South Goa
dis_1574,Lakshadweep
dis_1575,Kasaragod
dis_1576,Kannur
dis_1577,Wayanad
dis_1578,Kozhikode
dis_1579,Malappuram
dis_1580,Palakkad
dis_1581,Thrissur
dis_1582,Ernakulam
dis_1583,Idukki
dis_1584,Kottayam
dis_1585,Alappuzha
dis_1586,Pathanamthitta
dis_1587,Kollam
dis_1588,Thiruvananthapuram
dis_1589,Thiruvallur
dis_1590,Chennai
dis_1591,Kancheepuram
dis_1592,Vellore
dis_1593,Tiruvannamalai
dis_1594,Viluppuram
dis_1595,Salem
dis_1596,Namakkal
dis_1597,Erode
dis_1598,The Nilgiris
dis_1599,Dindigul
dis_1600,Karur
dis_1601,Tiruchirappalli
dis_1602,Perambalur
dis_1603,Ariyalur
dis_1604,Cuddalore
dis_1605,Nagapattinam
dis_1606,Thiruvarur
dis_1607,Thanjavur
dis_1608,Pudukkottai
dis_1609,Sivaganga
dis_1610,Madurai
dis_1611,Theni
dis_1612,Virudhunagar
dis_1613,Ramanathapuram
dis_1614,Thoothukkudi
dis_1615,Tirunelveli
dis_1616,Kanniyakumari
dis_1617,Dharmapuri
dis_1618,Krishnagiri
dis_1619,Coimbatore
dis_1620,Tiruppur
dis_1621,Yanam
dis_1622,Puducherry
dis_1623,Mahe
dis_1624,Karaikal
dis_1625,Nicobars
dis_1626,North  & Middle Andaman
dis_1627,South Andaman
dis_1628,Fazilka
dis_1629,Pathankot
dis_1630,Bhim Nagar
dis_1631,Chatrapati Shuji Maharaj Nagar
dis_1632,Panchsheel Nagar
dis_1633,Prabuddh Nagar
dis_1634,Gomati
dis_1635,Unakoti
dis_1636,West Jaintia Hills
dis_1637,North Garo Hills
dis_1638,Balod
dis_1639,Baloda Bazar
dis_1640,Bemetara
dis_1641,Gariaband
dis_1642,Kondagaon
dis_1643,Mungeli
dis_1644,Surajpur
dis_1645,Sukma
dis_1646,Aravalli
dis_1647,Botad
dis_1648,Chhota Udepur
dis_1649,Devbhoomi Dwarka
dis_1650,Gir Somnath
dis_1651,Mahisagar
dis_1652,Morbi
dis_1653,Palghar
dis_1654,South East Delhi
dis_1655,Bhadradri Kothagudem
dis_1656,Jagtial
dis_1657,Jangaon
dis_1658,Jayashankar Bhoopalpally
dis_1659,Jogulamba Gadwal
dis_1660,Kamareddy
dis_1661,Komaram Bheem Asifabad
dis_1662,Mahabubabad
dis_1663,Mancherial
dis_1664,Medchal
dis_1665,Nagarkurnool
dis_1666,Nirmal
dis_1667,Peddapalli
dis_1668,Sangareddy
dis_1669,Siddipet
dis_1670,Suryapet
dis_1671,Vikarabad
dis_1672,Wanaparthy
dis_1673,Yadadri Bhuvanagiri
dis_1674,Warangal (Uraban)
