0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Palamuru  University ,    Mahabubnagar,PU  M,PUM,PU/M,palamuru  university    mahabubnagar,PU,PU    mahabubnagar,PU-M,palamuru  university,,,,,,,,,,
Sri  Venkateswara  Veterinary  University ,  Tirupathi,SVVUT,sri  venkateswara  veterinary  university,sri  venkateswara  veterinary  university  tirupathi,SVVU  tirupathi,SVVU-T,SVVU/T,SVVU,SVVU  T,,,,,,,,,,
Dr  Y  S  R  Horticulture  University,dr  y  s  r  horticulture  university,DYSRHU,,,,,,,,,,,,,,,,
Punjabi  University ,  Patiala,PU  P,PU  patiala,punjabi  university,PUP,PU/P,PU-P,PU,punjabi  university  patiala,,,,,,,,,,
BILASPUR  VISHWAVIDYALAYA,bilaspur  vishwavidyalaya,BV,,,,,,,,,,,,,,,,
Ch.  Devi  Lal  University ,  Sirsa,CDLU-S,CDLU/S,CDLU  S,ch.  devi  lal  university,CDLUS,CDLU  sirsa,ch.  devi  lal  university  sirsa,CDLU,,,,,,,,,,
Jain  Vishva  Bharati  Institute ,  Nagaur,JVBI  nagaur,jain  vishva  bharati  institute  nagaur,JVBIN,JVBI-N,jain  vishva  bharati  institute,JVBI  N,JVBI,JVBI/N,,,,,,,,,,
Bundelkhand  University ,    Jhansi,BU  J,BU,bundelkhand  university    jhansi,BU/J,bundelkhand  university,BU    jhansi,BU-J,BUJ,,,,,,,,,,
Aligarh  Muslim  University ,  Aligarh,AMU  aligarh,aligarh  muslim  university  aligarh,AMU-A,AMU/A,AMU  A,AMUA,AMU,aligarh  muslim  university,,,,,,,,,,
University  of  Jammu ,  Jammu  Tawi,university  jammu  jammu  tawi,UJ,university  of  jammu  jammu  tawi,UJ  J,UJJ,university  jammu,UJ-J,UJ/J,university  of  jammu,UJ  jammu  tawi,,,,,,,,
Krishna  Institute  of  Medical  Sciences  Deemed  University ,  Karad,KIMSDU/K,krishna  institute  of  medical  sciences  deemed  university,KIMSDU  karad,KIMSDUK,krishna  institute  of  medical  sciences  deemed  university  karad,KIMSDU,krishna  institute  medical  sciences  deemed  university,KIMSDU-K,krishna  institute  medical  sciences  deemed  university  karad,KIMSDU  K,,,,,,,,
Utkal  University  of  Culture ,  Bhubaneswar,utkal  university  culture,utkal  university  of  culture,UUC-B,utkal  university  of  culture  bhubaneswar,UUCB,UUC/B,UUC  bhubaneswar,UUC  B,utkal  university  culture  bhubaneswar,UUC,,,,,,,,
Andhra  University ,  Visakhapatnam,AU  V,AU/V,AUV,AU  visakhapatnam,AU-V,andhra  university  visakhapatnam,andhra  university,AU,,,,,,,,,,
Adikavi  Nannaya  University ,  Rajahmundry ,  East  Godawari,adikavi  nannaya  university  rajahmundry ,  east  godawari,adikavi  nannaya  university,ANU/E,ANU  rajahmundry ,  east  godawari,ANU,ANU  E,ANU-E,ANUE,,,,,,,,,,
K.L.E.  Academy  of  Higher  Education  and  Research ,  Belgaum,KAHER,k.l.e.  academy  higher  education  research,KLE  B,KLE,KAHER-B,KLE-B,KAHER  belgaum,KLE/B,KAHERB,KAHER  B,KLEB,KLE  belgaum,k.l.e.  academy  higher  education  research  belgaum,k.l.e.  academy  of  higher  education  and  research,k.l.e.  academy  of  higher  education  and  research  belgaum,KAHER/B,,
Rajasthan  University  of  Veterinary  and  Animal  Sciences ,  Bikaner,rajasthan  university  of  veterinary  and  animal  sciences  bikaner,rajasthan  university  veterinary  animal  sciences,rajasthan  university  veterinary  animal  sciences  bikaner,RUVAS,RUVAS-B,RUVAS  B,rajasthan  university  of  veterinary  and  animal  sciences,RUVAS  bikaner,RUVASB,RUVAS/B,,,,,,,,
Hemwati  Nandan  Bahuguna  Garhwal  Univeristy ,  Srinagar ,  Garhwal,hemwati  nandan  bahuguna  garhwal  univeristy,hemwati  nandan  bahuguna  garhwal  univeristy  srinagar ,  garhwal,HNBGU/G,HNBGUG,HNBGU,HNBGU  srinagar ,  garhwal,HNBGU-G,HNBGU  G,,,,,,,,,,
Vikram  Simhapuri  University ,  Nellore,VSU,vikram  simhapuri  university  nellore,VSU-N,vikram  simhapuri  university,VSUN,VSU  N,VSU/N,VSU  nellore,,,,,,,,,,
Assam  Agricultural  University ,  Jorhat,AAUJ,AAU-J,AAU  jorhat,AAU  J,assam  agricultural  university  jorhat,AAU,assam  agricultural  university,AAU/J,,,,,,,,,,
Dr.B.R.Ambedkar  University ,  Etcherla,DRBR  university,DRBR  university  etcherla,DU-E,DUE,DU  E,DRBRE,DRBR  etcherla,DRBR  E,DRBR,DRBR/E,DU,DU/E,DRBR-E,dr.b.r.ambedkar  university  etcherla,dr.b.r.ambedkar  university,DU  etcherla,,
Bastar  Vishwavidyalaya ,  Bastar,bastar  vishwavidyalaya,BV,BV  B,bastar  vishwavidyalaya  bastar,BV-B,BVB,BV  bastar,BV/B,,,,,,,,,,
Krishna  University ,  Machhlipattanam,krishna  university,krishna  university  machhlipattanam,KU  M,KU,KU-M,KU/M,KU  machhlipattanam,KUM,,,,,,,,,,
Osmania  University ,  Hyderabad,OUH,OU  H,osmania  university  hyderabad,OU  hyderabad,OU,osmania  university,OU/H,OU-H,,,,,,,,,,
Dr  Sarvepalli  Radhakrishnan  Rajasthan  Ayurved  University ,  Jodhpur,dr  sarvepalli  radhakrishnan  rajasthan  ayurved  university  jodhpur,DSRRAU,DSRRAU  J,DSRRAU  jodhpur,DSRRAU/J,dr  sarvepalli  radhakrishnan  rajasthan  ayurved  university,DSRRAU-J,DSRRAUJ,,,,,,,,,,
Rayalaseema ,  University  Kurnool,R-U,RU,rayalaseema,R,R  U,rayalaseema  university  kurnool,R  university  kurnool,R/U,,,,,,,,,,
Acharya  NG  Ranga  Agricultural  University ,  Guntur,ANRAU  guntur,ANRAU/G,ANRAU,ANRAUG,ANRAU-G,acharya  ng  ranga  agricultural  university  guntur,ANRAU  G,acharya  ng  ranga  agricultural  university,,,,,,,,,,
Kushabhau  Thakre  Patrakarita  Avam  Jansanchar  Vishwavidyalaya ,  Raipur,KTPAJV-R,KTPAJVR,KTPAJV,kushabhau  thakre  patrakarita  avam  jansanchar  vishwavidyalaya,KTPAJV/R,KTPAJV  raipur,kushabhau  thakre  patrakarita  avam  jansanchar  vishwavidyalaya  raipur,KTPAJV  R,,,,,,,,,,
Assam  University ,  Silchar,AU  silchar,AU/S,assam  university,AU-S,AU  S,assam  university  silchar,AUS,AU,,,,,,,,,,
Kannada  University ,  Hampi ,  Kamalapura,KU-K,KU  K,KU,KU  hampi ,  kamalapura,kannada  university,KUK,kannada  university  hampi ,  kamalapura,KU/K,,,,,,,,,,
Tumkur  University ,  Tumkur,tumkur  university  tumkur,TU,TU-T,TU  T,TUT,tumkur  university,TU/T,TU  tumkur,,,,,,,,,,
Central  Agricultural  University ,  Imphal,central  agricultural  university,central  agricultural  university  imphal,CAU  I,CAU,CAU  imphal,CAU-I,CAU/I,CAUI,,,,,,,,,,
Jawaharlal  Nehru  Technological  University ,  Anantapur,JNTU/A,jawaharlal  nehru  technological  university  anantapur,JNTU-A,JNTU  A,JNTUA,JNTU  anantapur,jawaharlal  nehru  technological  university,JNTU,,,,,,,,,,
Rashtriya  Sanskrit  Sansthan ,  New  Delhi,RSS  new  delhi,RSS,RSS  N,RSSN,rashtriya  sanskrit  sansthan  new  delhi,RSS-N,rashtriya  sanskrit  sansthan,RSS/N,,,,,,,,,,
Veer  Kunwar  Singh  University ,  Arrah,VKSU,VKSU-A,VKSU  A,VKSU/A,VKSU  arrah,veer  kunwar  singh  university  arrah,veer  kunwar  singh  university,VKSUA,,,,,,,,,,
Kakatiya  University ,  Warangal,KU  W,kakatiya  university,KU,kakatiya  university  warangal,KU/W,KUW,KU-W,KU  warangal,,,,,,,,,,
Guru    Jambheshwar  University  of  Science  and  Technology ,  Hissar,GJUST-H,GJUST  hissar,GJUSTH,GJUST  H,guru  jambheshwar  university  science  technology  hissar,guru  jambheshwar  university  science  technology,GJUST,guru    jambheshwar  university  of  science  and  technology,guru    jambheshwar  university  of  science  and  technology  hissar,GJUST/H,,,,,,,,
Sri  Venkateswara  University ,  Tirupathy,sri  venkateswara  university,sri  venkateswara  university  tirupathy,SVUT,SVU,SVU  tirupathy,SVU-T,SVU  T,SVU/T,,,,,,,,,,
Guru  Nanak  Dev  University ,  Amritsar,GNDU,GNDU  A,GNDUA,guru  nanak  dev  university,GNDU/A,GNDU-A,guru  nanak  dev  university  amritsar,GNDU  amritsar,,,,,,,,,,
Maharshi  Dayanand  University ,  Rohtak,maharshi  dayanand  university,maharshi  dayanand  university  rohtak,MDU  rohtak,MDUR,MDU/R,MDU,MDU  R,MDU-R,,,,,,,,,,
CHAUDHARY  BANSI  LAL  UNIVERSITY,CBLU,chaudhary  bansi  lal  university,,,,,,,,,,,,,,,,
Alagappa  University ,  Alagappa  Nagar ,  Karaikudi,AUK,AU  K,AU  alagappa  nagar ,  karaikudi,alagappa  university  alagappa  nagar ,  karaikudi,AU-K,AU/K,alagappa  university,AU,,,,,,,,,,
Choudhary  Charan  Singh  University ,  Meerut,CCSU  meerut,CCSUM,CCSU  M,CCSU/M,CCSU,choudhary  charan  singh  university,choudhary  charan  singh  university  meerut,CCSU-M,,,,,,,,,,
Panjab  University ,Chandigarh,PUchandigarh,panjab  universitychandigarh,PU/C,PU,PU  C,PU-C,PUC,panjab  university,,,,,,,,,,
Chaudhary  Charan  Singh  Haryana  Agricultural  University ,  Hisar,CCSHAU-H,CCSHAUH,chaudhary  charan  singh  haryana  agricultural  university,CCSHAU  H,CCSHAU  hisar,chaudhary  charan  singh  haryana  agricultural  university  hisar,CCSHAU,CCSHAU/H,,,,,,,,,,
Jawaharlal  Nehru  Krishi  Vishwavidyalaya ,  Jabalpur,JNKV  J,JNKVJ,JNKV/J,jawaharlal  nehru  krishi  vishwavidyalaya  jabalpur,JNKV-J,JNKV,jawaharlal  nehru  krishi  vishwavidyalaya,JNKV  jabalpur,,,,,,,,,,
Raja  Mansingh    Tomar  Music  &  Arts  University ,  Gwalior,RMTMAU  gwalior,raja  mansingh  tomar  music  arts  university  gwalior,RMTMAU-G,RMTMAUG,raja  mansingh    tomar  music  &  arts  university  gwalior,RMTMAU,raja  mansingh    tomar  music  &  arts  university,RMTMAU/G,RMTMAU  G,raja  mansingh  tomar  music  arts  university,,,,,,,,
Bhupendra  Narayan  Mandal  University ,  Madhepura,bhupendra  narayan  mandal  university,BNMU/M,BNMU,BNMUM,bhupendra  narayan  mandal  university  madhepura,BNMU  madhepura,BNMU  M,BNMU-M,,,,,,,,,,
Aryabhatta  Knoweledge  University   ,  Patna,AKUP,AKU,AKU  patna,aryabhatta  knoweledge  university  ,AKU/P,AKU-P,AKU  P,aryabhatta  knoweledge  university    patna,,,,,,,,,,
Devi  Ahilya  Vishwavidyalaya ,  Indore,DAV-I,devi  ahilya  vishwavidyalaya,DAV,DAV  I,DAV/I,DAVI,devi  ahilya  vishwavidyalaya  indore,DAV  indore,,,,,,,,,,
Biju  Patnaik  University  of  Technology ,  Rourkela,BPUT,BPUT/R,BPUTR,biju  patnaik  university  of  technology,biju  patnaik  university  of  technology  rourkela,biju  patnaik  university  technology,BPUT  R,BPUT-R,BPUT  rourkela,biju  patnaik  university  technology  rourkela,,,,,,,,
Karnataka  Vetrinary ,  Animal  &  Fisheries  Science  University ,  Nandinagar,karnataka  vetrinary,karnataka  vetrinary  animal  &  fisheries  science  university ,  nandinagar,KV  animal  &  fisheries  science  university ,  nandinagar,KV/N,KVN,KV,KV-N,KV  N,,,,,,,,,,
Yogi  Vemana  University ,  Kadapa,YVU  K,YVU  kadapa,YVU-K,yogi  vemana  university  kadapa,yogi  vemana  university,YVU,YVU/K,YVUK,,,,,,,,,,
Pt.  Bhagwat  Dayal  Sharma  University  of  Health  Sciences,pt.  bhagwat  dayal  sharma  university  health  sciences,pt.  bhagwat  dayal  sharma  university  of  health  sciences,PBDSUHS,,,,,,,,,,,,,,,
University    of  Agricultural  Sciences ,  Dharwad,UAS/D,university    of  agricultural  sciences,UAS,UASD,UAS  D,UAS-D,university  agricultural  sciences,university  agricultural  sciences  dharwad,UAS  dharwad,university    of  agricultural  sciences  dharwad,,,,,,,,
Goa  University ,  Goa,GU,GU  G,GUG,goa  university  goa,GU  goa,GU-G,goa  university,GU/G,,,,,,,,,,
Sri  Krishnadevaraya  University ,  Anantapur,SKU  anantapur,sri  krishnadevaraya  university,SKU/A,sri  krishnadevaraya  university  anantapur,SKU  A,SKU-A,SKUA,SKU,,,,,,,,,,
Makhanlal  Chaturvedi  National  University  of  Journalism  and  Communication ,  Bhopal,MCNUJC-B,makhanlal  chaturvedi  national  university  of  journalism  and  communication  bhopal,MCNUJC,makhanlal  chaturvedi  national  university  of  journalism  and  communication,MCNUJC  B,makhanlal  chaturvedi  national  university  journalism  communication  bhopal,MCNUJCB,makhanlal  chaturvedi  national  university  journalism  communication,MCNUJC  bhopal,MCNUJC/B,,,,,,,,
Vikram  University ,  Ujjain,vikram  university  ujjain,VUU,VU-U,VU  U,VU/U,VU,VU  ujjain,vikram  university,,,,,,,,,,
Awadesh  Pratap  Singh  University ,  Rewa,awadesh  pratap  singh  university  rewa,APSU  rewa,APSU,APSU  R,APSUR,APSU-R,awadesh  pratap  singh  university,APSU/R,,,,,,,,,,
KING  GEORGE  MEDICAL  UNIVERSITY,king  george  medical  university,KGMU,,,,,,,,,,,,,,,,
Acharya  Nagarjuna  University ,  Guntur,ANU/G,acharya  nagarjuna  university,ANU-G,ANU,acharya  nagarjuna  university  guntur,ANUG,ANU  guntur,ANU  G,,,,,,,,,,
Guru  Gobind  Singh  Indraprastha  University,GGSIU,guru  gobind  singh  indraprastha  university,,,,,,,,,,,,,,,,
Lalit  Narayan  Mithila  University ,  Darbhanga,LNMUD,LNMU  D,LNMU  darbhanga,lalit  narayan  mithila  university,LNMU/D,LNMU-D,LNMU,lalit  narayan  mithila  university  darbhanga,,,,,,,,,,
Indira  Kala  Sangit  Vishwavidyalaya ,  Khairagarh,IKSV  khairagarh,indira  kala  sangit  vishwavidyalaya  khairagarh,IKSV/K,IKSV,IKSV  K,indira  kala  sangit  vishwavidyalaya,IKSV-K,IKSVK,,,,,,,,,,
Mahatma  Gandhi  University ,  Nalgonda,MGU-N,mahatma  gandhi  university  nalgonda,MGU  nalgonda,MGU/N,mahatma  gandhi  university,MGUN,MGU  N,MGU,,,,,,,,,,
Indira  Gandhi  Krishi  Vishwavidyalaya ,  Raipur,IGKV  raipur,IGKV/R,IGKV,IGKV-R,IGKVR,indira  gandhi  krishi  vishwavidyalaya,indira  gandhi  krishi  vishwavidyalaya  raipur,IGKV  R,,,,,,,,,,
CHHATTISGARH  KAMDHENU  VISHWAVIDALAYA,CKV,chhattisgarh  kamdhenu  vishwavidalaya,,,,,,,,,,,,,,,,
Mumbai  University  Mumbai,mumbai  university  mumbai,MUM,,,,,,,,,,,,,,,,
Dr.  Babasaheb  Ambedkar  Marathwada  University ,  Aurangabad,DBAMU/A,DBAMU,DBAMU  A,DBAMU-A,dr.  babasaheb  ambedkar  marathwada  university  aurangabad,DBAMU  aurangabad,DBAMUA,dr.  babasaheb  ambedkar  marathwada  university,,,,,,,,,,
Ramakrishna  Mission  Vivekananda  Educational    and  Research  Institute ,  Howrah,ramakrishna  mission  vivekananda  educational    and  research  institute,RMVERI/H,ramakrishna  mission  vivekananda  educational  research  institute,RMVERI,RMVERIH,RMVERI-H,RMVERI  H,ramakrishna  mission  vivekananda  educational    and  research  institute  howrah,ramakrishna  mission  vivekananda  educational  research  institute  howrah,RMVERI  howrah,,,,,,,,
Jagadguru  Sri  Shivarathreeswara  University ,  Mysore,JSSUM,JSSU/M,JSSU  M,JSSU,jagadguru  sri  shivarathreeswara  university,JSSU-M,jagadguru  sri  shivarathreeswara  university  mysore,JSSU  mysore,,,,,,,,,,
Telangana  University ,  Nizamabad,TU  nizamabad,TU,TU/N,TUN,telangana  university,telangana  university  nizamabad,TU  N,TU-N,,,,,,,,,,
University    of  Agricultural  Sciences ,  Raichur,UAS-R,university    of  agricultural  sciences,UAS,UASR,university  agricultural  sciences,UAS  R,university    of  agricultural  sciences  raichur,UAS/R,university  agricultural  sciences  raichur,UAS  raichur,,,,,,,,
Barkatullah  University ,  Bhopal,BU,BUB,barkatullah  university  bhopal,BU  bhopal,BU-B,BU  B,barkatullah  university,BU/B,,,,,,,,,,
Bharati  Vidyapeeth ,  Pune,BV  pune,BV-P,BV,BVP,BV  P,bharati  vidyapeeth  pune,bharati  vidyapeeth,BV/P,,,,,,,,,,
Karnataka  University ,  Dharwad,karnataka  university  dharwad,KUD,KU,KU-D,KU  dharwad,KU/D,karnataka  university,KU  D,,,,,,,,,,
University    of  Horticultural  Sciences ,  Bagalkot,UHSB,university    of  horticultural  sciences  bagalkot,UHS  bagalkot,university  horticultural  sciences  bagalkot,university  horticultural  sciences,UHS-B,university    of  horticultural  sciences,UHS/B,UHS,UHS  B,,,,,,,,
UNIVERSITY  OF  AGRICULTURAL  AND  HORTICULTURAL  SCIENCES ,  SHIMOGA,UAHS,university  of  agricultural  and  horticultural  sciences  shimoga,university  of  agricultural  and  horticultural  sciences,UAHSS,university  agricultural  horticultural  sciences  shimoga,UAHS-S,UAHS  S,UAHS/S,university  agricultural  horticultural  sciences,UAHS  shimoga,,,,,,,,
Bharathidasan  University ,  Tiruchirappalli,BUT,BU,BU  tiruchirappalli,BU-T,bharathidasan  university,bharathidasan  university  tiruchirappalli,BU  T,BU/T,,,,,,,,,,
Thiruvalluvar  Univeristy ,  Vellore,TU  vellore,TUV,TU/V,TU,thiruvalluvar  univeristy  vellore,thiruvalluvar  univeristy,TU  V,TU-V,,,,,,,,,,
University  of  Agricultural  Sciences ,  Bangalore,UAS-B,UAS,UAS  bangalore,UAS  B,university  agricultural  sciences,university  of  agricultural  sciences  bangalore,university  agricultural  sciences  bangalore,UAS/B,UASB,university  of  agricultural  sciences,,,,,,,,
University  of  Allahabad ,  Allahabad,university  of  allahabad,UA  A,university  of  allahabad  allahabad,UA  allahabad,UA/A,UA,university  allahabad,UA-A,university  allahabad  allahabad,UAA,,,,,,,,
Sri  Siddharatha  Acedemy  of  Higher  Education,SSAHE,sri  siddharatha  acedemy  of  higher  education,sri  siddharatha  acedemy  higher  education,,,,,,,,,,,,,,,
Madurai  Kamraj  University ,  Madurai,MKU/M,madurai  kamraj  university,MKU,madurai  kamraj  university  madurai,MKUM,MKU  M,MKU  madurai,MKU-M,,,,,,,,,,
Maharaja  Ganga  Singh  University ,  Bikaner,MGSU  bikaner,MGSU-B,maharaja  ganga  singh  university  bikaner,MGSUB,MGSU/B,MGSU,MGSU  B,maharaja  ganga  singh  university,,,,,,,,,,
PANDIT  DEENDAYAL  UPADHYAYA  SHEKHAWATI  UNIVERSITY,pandit  deendayal  upadhyaya  shekhawati  university,PDUSU,,,,,,,,,,,,,,,,
MAHARAJA  SURAJMAL  BRIJ  UNIVERSITY,maharaja  surajmal  brij  university,MSBU,,,,,,,,,,,,,,,,
Homi  Bhabha  Natioanal  Institute  Knowledge  Management  Group ,  Mumbai,HBNIKMG  mumbai,HBNIKMG  M,HBNIKMG/M,homi  bhabha  natioanal  institute  knowledge  management  group,homi  bhabha  natioanal  institute  knowledge  management  group  mumbai,HBNIKMG-M,HBNIKMGM,HBNIKMG,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,
Berhampur  University ,  Berhampur,BU,BUB,berhampur  university  berhampur,BU  berhampur,BU-B,BU  B,BU/B,berhampur  university,,,,,,,,,,
RAMA  DEVI  WOMEN'S  UNIVERSITY ,  BHUBANESWAR,RDWU  B,RDWSUB,RDWU/B,RDWU-B,RDWSU/B,RDWSU  B,RDWSU  bhubaneswar,RDWSU,rama  devi  women's  university  bhubaneswar,RDWU  bhubaneswar,rama  devi  women's  university,RDWSU-B,RDWUB,RDWU,,,,
Utkal  University ,  Bhubaneswar,UU/B,UUB,UU-B,UU  B,utkal  university  bhubaneswar,utkal  university,UU  bhubaneswar,UU,,,,,,,,,,
Mohan  Lal  Sukhadia  University ,  Uaipur,MLSU,MLSU-U,MLSU/U,MLSU  uaipur,MLSUU,MLSU  U,mohan  lal  sukhadia  university  uaipur,mohan  lal  sukhadia  university,,,,,,,,,,
Tata  Institute  of  Fundamental  Research ,  Mumbai,tata  institute  of  fundamental  research  mumbai,TIFR  mumbai,TIFR,TIFR-M,TIFRM,tata  institute  fundamental  research,tata  institute  of  fundamental  research,TIFR/M,tata  institute  fundamental  research  mumbai,TIFR  M,,,,,,,,
Rajiv  Gandhi  University  of  Health  Sciences ,  Bangalore,rajiv  gandhi  university  health  sciences,RGUHS-B,rajiv  gandhi  university  of  health  sciences  bangalore,RGUHS  B,rajiv  gandhi  university  health  sciences  bangalore,RGUHS/B,RGUHS,rajiv  gandhi  university  of  health  sciences,RGUHS  bangalore,RGUHSB,,,,,,,,
Sambalpur  University ,  Sambalpur,sambalpur  university,SU/S,SU  S,SU-S,SU  sambalpur,SU,sambalpur  university  sambalpur,SUS,,,,,,,,,,
Krantiguru  Shyamji  Krishna  Verma  Kachchh  University ,  Kachchh,KSKVKU/K,krantiguru  shyamji  krishna  verma  kachchh  university,krantiguru  shyamji  krishna  verma  kachchh  university  kachchh,KSKVKU,KSKVKUK,KSKVKU  K,KSKVKU-K,KSKVKU  kachchh,,,,,,,,,,
Bharathiar  University ,  Coimbatore,BU,BU  coimbatore,BUC,BU-C,BU  C,BU/C,bharathiar  university,bharathiar  university  coimbatore,,,,,,,,,,
Manonmaniam  Sundaranar  University ,  Tirunelveli,manonmaniam  sundaranar  university  tirunelveli,MSUT,MSU-T,MSU  tirunelveli,MSU/T,MSU,MSU  T,manonmaniam  sundaranar  university,,,,,,,,,,
Savitribai  Phule  Pune  University,SPPU,savitribai  phule  pune  university,,,,,,,,,,,,,,,,
