0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Dr.  Ram  Manohar  Lohia    Awadh  University ,  Faizabad,dr.  ram  manohar  lohia    awadh  university,DRMLAU  F,DRMLAU-F,dr.  ram  manohar  lohia    awadh  university  faizabad,DRMLAU,dr.  ram  manohar  lohia  awadh  university  faizabad,DRMLAU  faizabad,dr.  ram  manohar  lohia  awadh  university,DRMLAUF,DRMLAU/F,,,,,,,,
Jadavpur  University ,  Kolkata,jadavpur  university,JUK,jadavpur  university  kolkata,JU  kolkata,JU/K,JU-K,JU,JU  K,,,,,,,,,,
University  of  Gour  Banga ,  Malda,UGB/M,university  gour  banga,university  of  gour  banga,UGB,UGB-M,UGB  M,university  gour  banga  malda,university  of  gour  banga  malda,UGB  malda,UGBM,,,,,,,,
TAMIL  NADU  FISHERIES  UNIVERSITY,tamil  nadu  fisheries  university,TNFU,,,,,,,,,,,,,,,,
Tamilnadu  Veterinary  &  Animal  Sciences  University ,  Chennai,TVASU  chennai,tamilnadu  veterinary  &  animal  sciences  university  chennai,TVASU,tamilnadu  veterinary  &  animal  sciences  university,tamilnadu  veterinary  animal  sciences  university  chennai,tamilnadu  veterinary  animal  sciences  university,TVASU-C,TVASU  C,TVASU/C,TVASUC,,,,,,,,
Nilamber-Pitamber  University ,  Palamu,NUP,NU  palamu,NU,nilamber-pitamber  university,nilamber-pitamber  university  palamu,NU-P,NU  P,NU/P,,,,,,,,,,
Sant  Gadge  Baba  Amravati  University ,  Amravati,sant  gadge  baba  amravati  university,SGBAUA,SGBAU-A,SGBAU/A,SGBAU,SGBAU  amravati,SGBAU  A,sant  gadge  baba  amravati  university  amravati,,,,,,,,,,
Dr.  D.Y.Patil  Vidyapeeth ,  Pune,DRDY  pune,DDV  P,DDV-P,DDV  pune,DRDYP,dr.  d.y.patil  vidyapeeth  pune,DDVP,DRDY-P,DRDY,DDV,DDV/P,dr.  d.y.patil  vidyapeeth,DRDY  P,DRDY/P,,,,
Calicut  University ,  Thenhipalem ,  Malapuram,CU-M,CU/M,CU  thenhipalem ,  malapuram,CUM,CU,calicut  university,calicut  university  thenhipalem ,  malapuram,CU  M,,,,,,,,,,
West  Bengal  State  University ,  Kolkata,WBSU  kolkata,west  bengal  state  university  kolkata,WBSU,WBSUK,west  bengal  state  university,WBSU-K,WBSU/K,WBSU  K,,,,,,,,,,
Nirma  University ,  Ahmedabad,nirma  university  ahmedabad,NU,NU  A,nirma  university,NUA,NU  ahmedabad,NU-A,NU/A,,,,,,,,,,
Kolhan  University ,    West  Singhbhum,KU  W,kolhan  university,KU    west  singhbhum,KU,KU/W,KUW,KU-W,kolhan  university    west  singhbhum,,,,,,,,,,
Dr.  Balasaheb  Sawant  Konkan  Krishi  Vidyaapeeth ,(former  Konkan  Krishi  Vidyapeeth)  Ratnagiri,DBSKKV,dr.  balasaheb  sawant  konkan  krishi  vidyaapeeth  ratnagiri,DBSKKV  ratnagiri,dr.  balasaheb  sawant  konkan  krishi  vidyaapeeth,DBSKKV-R,DBSKKVR,DBSKKV  R,DBSKKV/R,,,,,,,,,,
Kerala  University ,  Thiruvananthapuram,KUT,kerala  university  thiruvananthapuram,KU,KU  thiruvananthapuram,KU-T,KU  T,kerala  university,KU/T,,,,,,,,,,
Kannur  University ,  Kannur,kannur  university,KU-K,KU  K,KU,KUK,KU  kannur,kannur  university  kannur,KU/K,,,,,,,,,,
Madras  University ,  Chennai,madras  university  chennai,MU  C,MU-C,MU  chennai,MUC,MU/C,madras  university,MU,,,,,,,,,,
Maharashtra  Animal  &  Fishery  Sciences  University ,  Nagpur,MAFSU/N,maharashtra  animal  fishery  sciences  university  nagpur,maharashtra  animal  &  fishery  sciences  university  nagpur,MAFSU  nagpur,MAFSU-N,MAFSUN,maharashtra  animal  &  fishery  sciences  university,maharashtra  animal  fishery  sciences  university,MAFSU,MAFSU  N,,,,,,,,
Kerala  Agricultural  University ,  Thrissur,kerala  agricultural  university,kerala  agricultural  university  thrissur,KAU  T,KAU/T,KAU,KAU-T,KAU  thrissur,KAUT,,,,,,,,,,
Kalyani  University ,  Kalyani,KU-K,KU  K,KU,KUK,KU  kalyani,KU/K,kalyani  university  kalyani,kalyani  university,,,,,,,,,,
Shri  Jagannath  Sanskrit  Vishwavidyalaya ,  Puri,shri  jagannath  sanskrit  vishwavidyalaya  puri,SJSV  puri,SJSV/P,SJSVP,SJSV  P,shri  jagannath  sanskrit  vishwavidyalaya,SJSV-P,SJSV,,,,,,,,,,
Ganpat  University ,  Ganpat  Vidyanagar ,  Kherva,ganpat  university,GU/K,GU,GU-K,GUK,GU  ganpat  vidyanagar ,  kherva,GU  K,ganpat  university  ganpat  vidyanagar ,  kherva,,,,,,,,,,
Smt.  Nathibai  Damodar  Thackersey  Women's  Univeristy ,  Mumbai,SNDTWU-M,SNDTWUM,smt.  nathibai  damodar  thackersey  women's  univeristy,SNDTWSU  mumbai,SNDTWSU,SNDTWSU-M,SNDTWSUM,SNDTWU  M,SNDTWU  mumbai,SNDTWU,SNDTWSU  M,SNDTWSU/M,smt.  nathibai  damodar  thackersey  women's  univeristy  mumbai,SNDTWU/M,,,,
SHRI  GOVIND  GURU  UNIVERSITY,SGGU,shri  govind  guru  university,,,,,,,,,,,,,,,,
Vinoba  Bhave  University ,  Hazaribagh,VBUH,VBU,vinoba  bhave  university  hazaribagh,VBU  H,vinoba  bhave  university,VBU  hazaribagh,VBU-H,VBU/H,,,,,,,,,,
Marathwada  Agricultural  University ,  Parbhani,MAU-P,MAU  P,marathwada  agricultural  university  parbhani,MAU  parbhani,MAU/P,MAUP,MAU,marathwada  agricultural  university,,,,,,,,,,
Dr.  Punjarao  Deshmukh  Krishi  Vidyapeeth ,  Akola,DPDKVA,DPDKV  A,DPDKV/A,DPDKV-A,DPDKV,dr.  punjarao  deshmukh  krishi  vidyapeeth  akola,dr.  punjarao  deshmukh  krishi  vidyapeeth,DPDKV  akola,,,,,,,,,,
Mahatma  Phule  Krishi  Vidyapeeth ,  Rahuri,MPKV,MPKV  rahuri,MPKVR,MPKV  R,mahatma  phule  krishi  vidyapeeth  rahuri,MPKV/R,mahatma  phule  krishi  vidyapeeth,MPKV-R,,,,,,,,,,
Burdwan  University ,  Burdwan,burdwan  university,BU,BUB,burdwan  university  burdwan,BU-B,BU  B,BU  burdwan,BU/B,,,,,,,,,,
Sidho-Kanho  Birsa  University,SBU,sidho-kanho  birsa  university,,,,,,,,,,,,,,,,
BANKURA  UNIVERSITY ,  BANKURA,bankura  university,BU,BUB,BU-B,BU  B,bankura  university  bankura,BU/B,BU  bankura,,,,,,,,,,
KAZI  NAZRUL  UNIVERSITY ,  ASANSOL,kazi  nazrul  university,KNU  asansol,KNU-A,KNU/A,KNU  A,KNUA,kazi  nazrul  university  asansol,KNU,,,,,,,,,,
Rabindra  Bharati  University ,  Kolkata,RBUK,RBU/K,RBU,rabindra  bharati  university  kolkata,rabindra  bharati  university,RBU  kolkata,RBU  K,RBU-K,,,,,,,,,,
Shanmugha  Arts ,  Science ,  Technology  &  Reserch  Academy  (SASTRA) ,  Thanjavur,shanmugha  arts  science ,  technology  &  reserch  academy   ,  thanjavur,SA/T,SA  T,SA  science ,  technology  &  reserch  academy   ,  thanjavur,SAT,SA,SA-T,shanmugha  arts,,,,,,,,,,
Maulana  Abul  Kalam  Azad  University  of  Technology ,  West  Bengal,MAKAUTW,MAKAUT  west  bengal,maulana  abul  kalam  azad  university  technology  west  bengal,maulana  abul  kalam  azad  university  of  technology,MAKAUT,maulana  abul  kalam  azad  university  of  technology  west  bengal,MAKAUT  W,maulana  abul  kalam  azad  university  technology,MAKAUT-W,MAKAUT/W,,,,,,,,
MGM  Institute  of  Health  Sciences ,  Navi    Mumbai,MIHS  navi    mumbai,MIHS,MIHS  N,mgm  institute  health  sciences  navi    mumbai,mgm  institute  of  health  sciences,MIHSN,mgm  institute  health  sciences,MIHS-N,mgm  institute  of  health  sciences  navi    mumbai,MIHS/N,,,,,,,,
Tamilnadu  Agricultural  University ,  Coimbatore,tamilnadu  agricultural  university,TAU-C,tamilnadu  agricultural  university  coimbatore,TAU  C,TAU,TAU/C,TAU  coimbatore,TAUC,,,,,,,,,,
Guru  Angad  Dev  Veterinary  &  Animal  Sciences  University ,  Ludhiana,guru  angad  dev  veterinary  &  animal  sciences  university  ludhiana,GADVASU,GADVASU/L,guru  angad  dev  veterinary  animal  sciences  university,guru  angad  dev  veterinary  &  animal  sciences  university,GADVASU  L,GADVASU  ludhiana,guru  angad  dev  veterinary  animal  sciences  university  ludhiana,GADVASU-L,GADVASUL,,,,,,,,
Vijayanagara  Sri  Krishnadevaraya  University ,  Bellary,VSKU  B,VSKUB,vijayanagara  sri  krishnadevaraya  university,VSKU-B,VSKU  bellary,VSKU/B,VSKU,vijayanagara  sri  krishnadevaraya  university  bellary,,,,,,,,,,
RAJIV  GANDHI  UNIVERSITY  OF  KNOWLEDGE  TECHNOLOGIES,RGUKT,rajiv  gandhi  university  knowledge  technologies,rajiv  gandhi  university  of  knowledge  technologies,,,,,,,,,,,,,,,
Swami  Ramanand  Teerth  Marathwada  University ,  Nanded,swami  ramanand  teerth  marathwada  university,SRTMU/N,SRTMU,SRTMUN,SRTMU-N,swami  ramanand  teerth  marathwada  university  nanded,SRTMU  nanded,SRTMU  N,,,,,,,,,,
Rajmata  Vijayaraje  Scindia  Krishi  Vishwa  Vidyalaya ,  Gwalior,RVSKVV,RVSKVVG,RVSKVV  G,rajmata  vijayaraje  scindia  krishi  vishwa  vidyalaya  gwalior,rajmata  vijayaraje  scindia  krishi  vishwa  vidyalaya,RVSKVV  gwalior,RVSKVV-G,RVSKVV/G,,,,,,,,,,
Sarguja  University ,  Ambikapur,sarguja  university  ambikapur,SU/A,SUA,SU,SU-A,SU  A,sarguja  university,SU  ambikapur,,,,,,,,,,
COOCH  BEHAR  PANCHANAN  BARMA  UNIVERSITY,cooch  behar  panchanan  barma  university,CBPBU,,,,,,,,,,,,,,,,
North  Bengal  University ,  Darjeeling,north  bengal  university  darjeeling,NBU,NBU-D,NBU  darjeeling,NBU  D,north  bengal  university,NBU/D,NBUD,,,,,,,,,,
Pondicherry  Univeristy ,  Puducherry,pondicherry  univeristy  puducherry,PU  P,PUP,pondicherry  univeristy,PU/P,PU-P,PU,PU  puducherry,,,,,,,,,,
Sido  Kanhu  Murmu  University ,  Dumka,SKMU-D,SKMU/D,SKMU  dumka,SKMUD,SKMU,SKMU  D,sido  kanhu  murmu  university,sido  kanhu  murmu  university  dumka,,,,,,,,,,
Tamil  Nadu  Dr.  M.G.R.  Medical  University   ,  Chennai,tamil  nadu  dr.  m.g.r.  medical  university  ,TAMIL  NADU  DRMGR  university    chennai,TNDMMUC,TNDMMU  chennai,TAMIL  NADU  DRMGR  chennai,TNDMMU  C,TNDMMU-C,TAMIL  NADU  DRMGR  C,TNDMMU,TAMIL  NADU  DRMGR/C,TAMIL  NADU  DRMGR-C,TAMIL  NADU  DRMGR  university  ,TAMIL  NADU  DRMGRC,tamil  nadu  dr.  m.g.r.  medical  university    chennai,TAMIL  NADU  DRMGR,TNDMMU/C,,
Uttar  Pradesh  Technical  University ,  Lucknow,uttar  pradesh  technical  university  lucknow,UPTU  L,UPTU-L,UPTU/L,UPTU,UPTU  lucknow,UPTUL,uttar  pradesh  technical  university,,,,,,,,,,
Manipal  Academy  of  Higher  Education ,  Manipal,MAHE/M,MAHE-M,MAHEM,manipal  academy  of  higher  education  manipal,MAHE  manipal,MAHE,manipal  academy  higher  education,manipal  academy  of  higher  education,MAHE  M,manipal  academy  higher  education  manipal,,,,,,,,
Navsari  Agricultural  University,navsari  agricultural  university,NAU,,,,,,,,,,,,,,,,
Rajasthan  University  of  Health  Sciences ,  Jaipur,rajasthan  university  health  sciences,RUHS/J,RUHS  J,rajasthan  university  health  sciences  jaipur,RUHSJ,RUHS  jaipur,RUHS,RUHS-J,rajasthan  university  of  health  sciences  jaipur,rajasthan  university  of  health  sciences,,,,,,,,
Tripura  University ,  Agartala,TU  agartala,TU-A,TU,TU  A,TUA,TU/A,tripura  university  agartala,tripura  university,,,,,,,,,,
Maulana  Mazharul  Haque  Arabic  &  Persian  University ,  Patna,MMHAPUP,MMHAPU,maulana  mazharul  haque  arabic  &  persian  university  patna,maulana  mazharul  haque  arabic  persian  university  patna,maulana  mazharul  haque  arabic  &  persian  university,MMHAPU/P,MMHAPU  patna,maulana  mazharul  haque  arabic  persian  university,MMHAPU  P,MMHAPU-P,,,,,,,,
National  Institute  of  Fashion  Technology ,  Hauz  Khas,national  institute  fashion  technology,NIFT  hauz  khas,national  institute  fashion  technology  hauz  khas,national  institute  of  fashion  technology  hauz  khas,NIFT-H,national  institute  of  fashion  technology,NIFT/H,NIFT,NIFT  H,NIFTH,,,,,,,,
Sikkim    University ,  Gangtok,SUG,SU  G,sikkim  university  gangtok,SU/G,sikkim    university  gangtok,SU,SU  gangtok,sikkim  university,sikkim    university,SU-G,,,,,,,,
Cochin  University  of  Science  &  Technology ,  Kochi,cochin  university  science  technology,cochin  university  of  science  &  technology,CUST  K,cochin  university  science  technology  kochi,CUST  kochi,cochin  university  of  science  &  technology  kochi,CUST-K,CUST/K,CUSTK,CUST,,,,,,,,
Periyar  University ,  Salem,PU  salem,PU  S,PU/S,periyar  university  salem,periyar  university,PUS,PU,PU-S,,,,,,,,,,
Uttaranchal  Sanskrit  University ,  Hardwar,USU/H,USU  hardwar,USU,uttaranchal  sanskrit  university  hardwar,uttaranchal  sanskrit  university,USU  H,USUH,USU-H,,,,,,,,,,
Manipur  University ,  Imphal,MU-I,MU  imphal,MUI,manipur  university  imphal,manipur  university,MU/I,MU,MU  I,,,,,,,,,,
Vinayaka  Missions  Sikkim  University ,  Tadong,VMSU,VMSU/T,vinayaka  missions  sikkim  university,VMSU  T,VMSU-T,VMSU  tadong,vinayaka  missions  sikkim  university  tadong,VMSUT,,,,,,,,,,
Sri  Balajai  Vidyapeeth  Mahatma  Gandhi  Medical  College ,  Puducherry,SBVMGMC  puducherry,sri  balajai  vidyapeeth  mahatma  gandhi  medical  college,SBVMGMC  P,sri  balajai  vidyapeeth  mahatma  gandhi  medical  college  puducherry,SBVMGMCP,SBVMGMC,SBVMGMC-P,SBVMGMC/P,,,,,,,,,,
Karnataka  State  Women  University ,  Bijapur,KSWU,KSWUB,KSWU  B,karnataka  state  women  university  bijapur,karnataka  state  women  university,KSWU-B,KSWU  bijapur,KSWU/B,,,,,,,,,,
Maharaja  Krishnakumarsinhji  Bhavnagar  University,MKBU,maharaja  krishnakumarsinhji  bhavnagar  university,,,,,,,,,,,,,,,,
Gujarat  University ,  Ahmedabad,GU,gujarat  university,GU  A,GU/A,GU  ahmedabad,GUA,gujarat  university  ahmedabad,GU-A,,,,,,,,,,
ANANT  NATIONAL  UNIVERSITY,ANU,anant  national  university,,,,,,,,,,,,,,,,
Vellore  Institute  of  Technology ,  Vellore,VIT  V,VIT,VIT-V,VITV,vellore  institute  of  technology  vellore,vellore  institute  technology  vellore,vellore  institute  of  technology,VIT/V,vellore  institute  technology,VIT  vellore,,,,,,,,
Marwadi  University,marwadi  university,MU,,,,,,,,,,,,,,,,
Maharishi  Panini  Sanskrit  Vishwavidyalaya ,  Ujjain,MPSV-U,maharishi  panini  sanskrit  vishwavidyalaya,MPSV,MPSV  ujjain,MPSVU,maharishi  panini  sanskrit  vishwavidyalaya  ujjain,MPSV/U,MPSV  U,,,,,,,,,,
Junagadh  Agricultural  University,junagadh  agricultural  university,JAU,,,,,,,,,,,,,,,,
Dibrugarh  University ,  Dibrugarh,dibrugarh  university  dibrugarh,DU  D,DU  dibrugarh,DUD,DU-D,DU,dibrugarh  university,DU/D,,,,,,,,,,
Centurion  University  of  Technology  and  Management,centurion  university  technology  management,centurion  university  of  technology  and  management,CUTM,,,,,,,,,,,,,,,
Maulana  Azad  National  Urdu  University ,  Hyderabad,MANUU-H,MANUU,maulana  azad  national  urdu  university  hyderabad,MANUUH,maulana  azad  national  urdu  university,MANUU  hyderabad,MANUU  H,MANUU/H,,,,,,,,,,
Karnataka  State  Law  University ,  Hubli,KSLU-H,KSLUH,KSLU  H,KSLU,karnataka  state  law  university  hubli,KSLU/H,karnataka  state  law  university,KSLU  hubli,,,,,,,,,,
Central  Univeristy  of  Kerala ,  Kasaragod,central  univeristy  of  kerala,central  univeristy  kerala  kasaragod,CUK/K,CUKK,central  univeristy  of  kerala  kasaragod,CUK  kasaragod,central  univeristy  kerala,CUK,CUK-K,CUK  K,,,,,,,,
SRI  DEV  SUMAN  UTTARAKHAND  UNIVERSITY ,  BADSHAHITHOL ,  TEHRI,sri  dev  suman  uttarakhand  university,sri  dev  suman  uttarakhand  university  badshahithol ,  tehri,SDSUU  badshahithol ,  tehri,SDSUU,SDSUU/T,SDSUU  T,SDSUU-T,SDSUUT,,,,,,,,,,
Rajasthan  Agricultural  University ,  Bikaner,rajasthan  agricultural  university  bikaner,RAU  bikaner,RAUB,RAU/B,RAU-B,RAU  B,RAU,rajasthan  agricultural  university,,,,,,,,,,
Sher-e-Kashmir  University  of  Agricultural  Science  &  Technology  of  Kashmir ,  Srinagar,sher-e-kashmir  university  agricultural  science  technology  kashmir  srinagar,SUASTK-S,sher-e-kashmir  university  of  agricultural  science  &  technology  of  kashmir  srinagar,sher-e-kashmir  university  agricultural  science  technology  kashmir,SUASTK,SUASTK  S,SUASTKS,sher-e-kashmir  university  of  agricultural  science  &  technology  of  kashmir,SUASTK  srinagar,SUASTK/S,,,,,,,,
Institute  of  Advanced  Studies  in  Education ,  Churu,institute  advanced  studies  in  education  churu,IASIE/C,IASIE  C,institute  of  advanced  studies  in  education  churu,IASIEC,IASIE-C,institute  of  advanced  studies  in  education,IASIE,institute  advanced  studies  in  education,IASIE  churu,,,,,,,,
Teerthanker  Mahaveer  University ,  Moradabad,TMU  moradabad,TMUM,teerthanker  mahaveer  university,teerthanker  mahaveer  university  moradabad,TMU,TMU/M,TMU  M,TMU-M,,,,,,,,,,
RAJ  RISHI  BHARTRIHARI  MATSYA  UNIVERSITY,RRBMU,raj  rishi  bhartrihari  matsya  university,,,,,,,,,,,,,,,,
ASSAM  SCIENCE  AND  TECHNOLOGY  UNIVERSITY,ASTU,assam  science  technology  university,assam  science  and  technology  university,,,,,,,,,,,,,,,
HEMWATI  NANDAN  BAHUGUNA  MEDICAL  EDUCATION  UNIVERSITY,hemwati  nandan  bahuguna  medical  education  university,HNBMEU,,,,,,,,,,,,,,,,
Mizoram  University ,  Aizwal,MU/A,mizoram  university,MUA,mizoram  university  aizwal,MU  A,MU  aizwal,MU-A,MU,,,,,,,,,,
Gujarat  Ayurveda  University ,  Jamnagar,GAU-J,gujarat  ayurveda  university  jamnagar,GAU  jamnagar,GAU,GAU/J,GAU  J,gujarat  ayurveda  university,GAUJ,,,,,,,,,,
Dharmsinh  Desai  univeristy ,  Nadiad,DDU/N,DDU  N,DDU-N,dharmsinh  desai  univeristy,DDU  nadiad,DDU,DDUN,dharmsinh  desai  univeristy  nadiad,,,,,,,,,,
Tamilnadu  Physical  Education  and  Sports  University ,  Chennai,TPESU,TPESU/C,tamilnadu  physical  education  and  sports  university,TPESU  C,TPESU-C,TPESU  chennai,tamilnadu  physical  education  sports  university,TPESUC,tamilnadu  physical  education  sports  university  chennai,tamilnadu  physical  education  and  sports  university  chennai,,,,,,,,
Shri  Mata  Vaishno  Devi  University ,  Jammu,SMVDU-J,SMVDU,shri  mata  vaishno  devi  university  jammu,SMVDU  J,SMVDU  jammu,SMVDUJ,SMVDU/J,shri  mata  vaishno  devi  university,,,,,,,,,,
DELHI  PHARMACEUTICAL  SCIENCES  AND  RESEARCH  UNIVERSITY,delhi  pharmaceutical  sciences  and  research  university,DPSRU,delhi  pharmaceutical  sciences  research  university,,,,,,,,,,,,,,,
Central  Institute  of  Fisheries  Education ,  Fishries  University ,  Mumbai,CIFE/M,CIFE,CIFE-M,CIFE  M,central  institute  fisheries  education  fishries  university ,  mumbai,CIFEM,central  institute  of  fisheries  education  fishries  university ,  mumbai,central  institute  of  fisheries  education,central  institute  fisheries  education,CIFE  fishries  university ,  mumbai,,,,,,,,
Chettinad  Academy  of  Research  &  Education ,  Kancheepuram,CARE-K,chettinad  academy  research  education  kancheepuram,chettinad  academy  of  research  &  education,CARE/K,CARE  kancheepuram,CARE,CARE  K,chettinad  academy  research  education,chettinad  academy  of  research  &  education  kancheepuram,CAREK,,,,,,,,
Anand  Agricultural  University ,  Anand,AAU  A,AAU  anand,anand  agricultural  university  anand,AAU,anand  agricultural  university,AAUA,AAU/A,AAU-A,,,,,,,,,,
Birla  Institute  of  Technology ,  Ranchi,BIT-R,birla  institute  technology  ranchi,BIT  R,BIT,BITR,birla  institute  technology,birla  institute  of  technology  ranchi,BIT/R,birla  institute  of  technology,BIT  ranchi,,,,,,,,
Bihar  Agriculture  University ,  Sabour,BAUS,bihar  agriculture  university  sabour,bihar  agriculture  university,BAU  S,BAU,BAU  sabour,BAU/S,BAU-S,,,,,,,,,,
Yenepoya  University ,  Mangalore,YU,yenepoya  university  mangalore,YU/M,YU-M,YUM,YU  mangalore,yenepoya  university,YU  M,,,,,,,,,,
Sikkim  Manipal  University ,  Gangtok,SMU,SMU/G,SMUG,sikkim  manipal  university,SMU  gangtok,sikkim  manipal  university  gangtok,SMU-G,SMU  G,,,,,,,,,,
Kameshwar  Singh  Darbhanga  Sanskrit  Vishwavidyalaya ,  Darbhanga,kameshwar  singh  darbhanga  sanskrit  vishwavidyalaya  darbhanga,KSDSV  darbhanga,KSDSV-D,KSDSV/D,KSDSVD,KSDSV  D,KSDSV,kameshwar  singh  darbhanga  sanskrit  vishwavidyalaya,,,,,,,,,,
Pravara  Institute  of  Medical  Sciences ,  Ahmednagar,PIMS,pravara  institute  of  medical  sciences,PIMS  A,pravara  institute  medical  sciences,PIMS/A,pravara  institute  of  medical  sciences  ahmednagar,PIMS-A,PIMSA,PIMS  ahmednagar,pravara  institute  medical  sciences  ahmednagar,,,,,,,,
